Episode,Epsilon,Steps
2,0.49,200
4,0.48,200
6,0.47,200
8,0.46,200
10,0.45,200
12,0.44,200
14,0.44,200
16,0.43,200
18,0.42,200
20,0.41,200
22,0.4,200
24,0.4,200
26,0.39,200
28,0.38,200
30,0.37,199
32,0.37,200
34,0.36,200
36,0.35,200
38,0.34,200
40,0.34,200
42,0.33,200
44,0.33,200
46,0.32,200
48,0.31,200
50,0.31,200
52,0.3,200
54,0.29,200
56,0.29,200
58,0.28,200
60,0.28,174
62,0.27,192
64,0.27,200
66,0.26,200
68,0.26,200
70,0.25,200
72,0.25,200
74,0.24,190
76,0.24,200
78,0.23,200
80,0.23,200
82,0.22,200
84,0.22,172
86,0.22,200
88,0.21,200
90,0.21,200
92,0.2,200
94,0.2,177
96,0.2,200
98,0.19,200
100,0.19,200
102,0.18,200
104,0.18,200
106,0.18,200
108,0.17,194
110,0.17,200
112,0.17,139
114,0.16,132
116,0.16,149
118,0.16,166
120,0.15,158
122,0.15,196
