Episode,Epsilon,Steps
2,0.49,200
4,0.48,200
6,0.47,200
8,0.46,200
10,0.45,200
12,0.44,200
14,0.44,200
16,0.43,200
18,0.42,200
20,0.41,200
22,0.4,200
24,0.4,200
26,0.39,200
28,0.38,200
30,0.37,200
32,0.37,200
34,0.36,200
36,0.35,200
38,0.34,200
40,0.34,200
42,0.33,200
44,0.33,200
46,0.32,200
48,0.31,200
50,0.31,200
52,0.3,200
54,0.29,200
56,0.29,200
58,0.28,200
60,0.28,200
62,0.27,200
64,0.27,200
66,0.26,200
68,0.26,200
70,0.25,200
72,0.25,200
74,0.24,200
76,0.24,200
78,0.23,200
80,0.23,200
82,0.22,200
84,0.22,200
86,0.22,200
88,0.21,200
90,0.21,200
92,0.2,200
94,0.2,200
96,0.2,200
98,0.19,200
100,0.19,200
102,0.18,200
104,0.18,200
106,0.18,200
108,0.17,200
110,0.17,200
112,0.17,200
114,0.16,200
116,0.16,200
118,0.16,200
120,0.15,200
122,0.15,200
124,0.15,200
126,0.15,200
128,0.14,200
130,0.14,200
132,0.14,200
134,0.13,200
136,0.13,200
138,0.13,200
140,0.13,200
142,0.12,200
144,0.12,200
146,0.12,200
148,0.12,200
150,0.12,200
152,0.11,200
154,0.11,200
156,0.11,200
158,0.11,200
160,0.1,200
162,0.1,200
164,0.1,200
166,0.1,200
168,0.1,176
170,0.09,200
172,0.09,200
174,0.09,200
176,0.09,200
178,0.09,175
180,0.09,200
182,0.08,200
184,0.08,200
186,0.08,166
188,0.08,200
190,0.08,161
192,0.08,170
194,0.07,168
196,0.07,200
198,0.07,200
200,0.07,179
202,0.07,164
204,0.07,192
206,0.07,176
208,0.07,200
210,0.06,161
212,0.06,151
214,0.06,157
216,0.06,169
