average_reward,episode,frame,epsilon
1.35,52,10000,0.99
1.30,106,20000,0.98
1.30,158,30000,0.97
1.34,210,40000,0.96
1.46,262,50000,0.96
1.40,315,60000,0.95
1.49,366,70000,0.94
1.15,423,80000,0.93
0.98,481,90000,0.92
1.11,535,100000,0.91
1.27,589,110000,0.90
1.41,643,120000,0.89
1.44,694,130000,0.88
1.44,747,140000,0.87
1.31,803,150000,0.87
1.18,858,160000,0.86
1.31,911,170000,0.85
1.24,967,180000,0.84
1.23,1022,190000,0.83
1.39,1075,200000,0.82
1.56,1125,210000,0.81
1.60,1176,220000,0.80
1.63,1226,230000,0.79
1.61,1276,240000,0.78
1.64,1326,250000,0.78
2.05,1369,260000,0.77
2.13,1418,270000,0.76
2.24,1461,280000,0.75
2.50,1502,290000,0.74
2.64,1544,300000,0.73
2.88,1583,310000,0.72
3.32,1618,320000,0.71
3.61,1656,330000,0.70
3.67,1693,340000,0.69
3.72,1727,350000,0.69
4.00,1763,360000,0.68
4.20,1797,370000,0.67
3.96,1833,380000,0.66
4.31,1865,390000,0.65
4.51,1897,400000,0.64
5.19,1928,410000,0.63
4.93,1963,420000,0.62
4.97,1994,430000,0.61
4.89,2023,440000,0.60
5.17,2053,450000,0.60
5.10,2085,460000,0.59
4.92,2118,470000,0.58
4.34,2155,480000,0.57
4.12,2189,490000,0.56
3.41,2229,500000,0.55
3.15,2267,510000,0.54
2.63,2307,520000,0.53
2.44,2347,530000,0.52
2.14,2394,540000,0.51
1.97,2437,550000,0.51
2.07,2480,560000,0.50
1.76,2528,570000,0.49
1.42,2578,580000,0.48
1.50,2623,590000,0.47
1.75,2668,600000,0.46
1.69,2715,610000,0.45
1.67,2760,620000,0.44
1.96,2802,630000,0.43
2.24,2842,640000,0.42
2.03,2887,650000,0.42
2.18,2928,660000,0.41
2.27,2970,670000,0.40
2.29,3012,680000,0.39
2.53,3055,690000,0.38
2.88,3096,700000,0.37
3.15,3135,710000,0.36
3.00,3178,720000,0.35
3.36,3216,730000,0.34
3.52,3251,740000,0.33
3.76,3286,750000,0.33
4.17,3316,760000,0.32
4.73,3346,770000,0.31
4.77,3376,780000,0.30
5.06,3404,790000,0.29
5.10,3432,800000,0.28
5.64,3458,810000,0.27
5.96,3484,820000,0.26
6.41,3507,830000,0.25
7.10,3529,840000,0.24
7.63,3551,850000,0.24
8.03,3575,860000,0.23
8.15,3598,870000,0.22
8.42,3621,880000,0.21
8.84,3642,890000,0.20
9.08,3665,900000,0.19
9.38,3686,910000,0.18
9.66,3708,920000,0.17
9.97,3728,930000,0.16
10.40,3748,940000,0.15
11.08,3768,950000,0.15
11.72,3785,960000,0.14
12.02,3805,970000,0.13
12.30,3824,980000,0.12
12.86,3841,990000,0.11
13.55,3859,1000000,0.10
14.28,3874,1010000,0.10
14.60,3891,1020000,0.10
14.92,3908,1030000,0.10
15.32,3925,1040000,0.10
14.67,3944,1050000,0.10
14.15,3963,1060000,0.10
13.57,3981,1070000,0.10
13.23,3998,1080000,0.10
13.51,4016,1090000,0.10
13.55,4032,1100000,0.10
14.01,4049,1110000,0.10
13.94,4067,1120000,0.10
14.15,4084,1130000,0.10
14.12,4102,1140000,0.10
14.37,4117,1150000,0.10
14.53,4133,1160000,0.10
15.14,4148,1170000,0.10
15.99,4164,1180000,0.10
16.59,4180,1190000,0.10
16.73,4197,1200000,0.10
16.04,4215,1210000,0.10
15.39,4233,1220000,0.10
14.96,4249,1230000,0.10
14.72,4265,1240000,0.10
