avrg_reward,episode,frames
1.35,52,10000
1.30,106,20000
1.30,158,30000
1.34,210,40000
1.46,262,50000
1.40,315,60000
1.49,366,70000
1.15,423,80000
0.98,481,90000
1.11,535,100000
1.27,589,110000
1.41,643,120000
1.44,694,130000
1.44,747,140000
1.31,803,150000
1.18,858,160000
1.31,911,170000
1.24,967,180000
1.23,1022,190000
1.39,1075,200000
1.56,1125,210000
1.60,1176,220000
1.63,1226,230000
1.61,1276,240000
1.64,1326,250000
2.05,1369,260000
2.13,1418,270000
2.24,1461,280000
2.50,1502,290000
2.64,1544,300000
2.88,1583,310000
3.32,1618,320000
3.61,1656,330000
3.67,1693,340000
3.72,1727,350000
4.00,1763,360000
4.20,1797,370000
3.96,1833,380000
4.31,1865,390000
4.51,1897,400000
5.19,1928,410000
4.93,1963,420000
4.97,1994,430000
4.89,2023,440000
5.17,2053,450000
5.10,2085,460000
4.92,2118,470000
4.34,2155,480000
4.12,2189,490000
3.41,2229,500000
3.15,2267,510000
2.63,2307,520000
2.44,2347,530000
2.14,2394,540000
1.97,2437,550000
2.07,2480,560000
1.76,2528,570000
1.42,2578,580000
1.50,2623,590000
1.75,2668,600000
1.69,2715,610000
1.67,2760,620000
1.96,2802,630000
2.24,2842,640000
2.03,2887,650000
2.18,2928,660000
2.27,2970,670000
2.29,3012,680000
2.53,3055,690000
2.88,3096,700000
3.15,3135,710000
3.00,3178,720000
3.36,3216,730000
3.52,3251,740000
3.76,3286,750000
4.17,3316,760000
4.73,3346,770000
4.77,3376,780000
5.06,3404,790000
5.10,3432,800000
5.64,3458,810000
5.96,3484,820000
6.41,3507,830000
7.10,3529,840000
7.63,3551,850000
8.03,3575,860000
8.15,3598,870000
8.42,3621,880000
8.84,3642,890000
9.08,3665,900000
9.38,3686,910000
9.66,3708,920000
9.97,3728,930000
10.40,3748,940000
11.08,3768,950000
11.72,3785,960000
12.02,3805,970000
12.30,3824,980000
12.86,3841,990000
13.55,3859,1000000
14.28,3874,1010000
14.60,3891,1020000
14.92,3908,1030000
15.32,3925,1040000
14.67,3944,1050000
14.15,3963,1060000
13.57,3981,1070000
13.23,3998,1080000
13.51,4016,1090000
13.55,4032,1100000
14.01,4049,1110000
13.94,4067,1120000
14.15,4084,1130000
14.12,4102,1140000
14.37,4117,1150000
14.53,4133,1160000
15.14,4148,1170000
15.99,4164,1180000
16.59,4180,1190000
16.73,4197,1200000
16.04,4215,1210000
15.39,4233,1220000
14.96,4249,1230000
14.72,4265,1240000
14.21,4284,1250000
14.29,4300,1260000
14.43,4319,1270000
14.69,4336,1280000
13.97,4355,1290000
13.48,4376,1300000
12.86,4395,1310000
12.66,4413,1320000
11.90,4433,1330000
11.99,4452,1340000
11.94,4469,1350000
12.58,4487,1360000
12.37,4507,1370000
11.56,4528,1380000
11.76,4548,1390000
10.96,4570,1400000
10.64,4588,1410000
10.18,4608,1420000
10.43,4629,1430000
10.19,4650,1440000
10.58,4670,1450000
9.49,4694,1460000
9.57,4716,1470000
9.47,4736,1480000
9.52,4757,1490000
10.09,4777,1500000
10.54,4800,1510000
10.01,4823,1520000
9.58,4847,1530000
9.09,4870,1540000
9.04,4891,1550000
9.94,4911,1560000
10.31,4932,1570000
10.83,4954,1580000
11.45,4973,1590000
10.81,4995,1600000
10.75,5016,1610000
11.04,5037,1620000
11.23,5055,1630000
