average_reward,episode,frame,epsilon
1.35,52,10000,0.99
1.3,106,20000,0.98
1.3,158,30000,0.97
1.34,210,40000,0.96
1.46,262,50000,0.96
1.44,314,60000,0.95
1.44,367,70000,0.94
1.34,420,80000,0.93
1.12,478,90000,0.92
1.01,533,100000,0.91
1.0,590,110000,0.9
1.14,644,120000,0.89
1.1,700,130000,0.88
1.33,751,140000,0.87
1.44,804,150000,0.87
1.18,861,160000,0.86
1.1,917,170000,0.85
1.17,971,180000,0.84
1.33,1023,190000,0.83
1.28,1078,200000,0.82
1.22,1132,210000,0.81
1.31,1183,220000,0.8
1.12,1240,230000,0.79
1.17,1292,240000,0.78
1.5,1343,250000,0.78
1.4,1399,260000,0.77
1.22,1453,270000,0.76
1.3,1503,280000,0.75
1.47,1555,290000,0.74
1.38,1609,300000,0.73
1.21,1663,310000,0.72
1.37,1715,320000,0.71
1.34,1768,330000,0.7
1.35,1818,340000,0.69
1.37,1871,350000,0.69
1.14,1925,360000,0.68
1.14,1979,370000,0.67
1.3,2030,380000,0.66
1.47,2077,390000,0.65
1.54,2128,400000,0.64
1.41,2179,410000,0.63
1.41,2230,420000,0.62
1.37,2282,430000,0.61
1.61,2328,440000,0.6
1.4,2383,450000,0.6
1.23,2434,460000,0.59
1.59,2482,470000,0.58
1.59,2533,480000,0.57
1.28,2587,490000,0.56
1.19,2639,500000,0.55
1.37,2689,510000,0.54
1.41,2741,520000,0.53
1.26,2793,530000,0.52
1.21,2845,540000,0.51
1.1,2899,550000,0.51
1.39,2947,560000,0.5
1.48,2998,570000,0.49
1.05,3053,580000,0.48
1.18,3103,590000,0.47
1.5,3150,600000,0.46
1.49,3200,610000,0.45
1.24,3250,620000,0.44
1.18,3301,630000,0.43
1.32,3350,640000,0.42
1.38,3401,650000,0.42
1.31,3450,660000,0.41
1.5,3497,670000,0.4
1.44,3546,680000,0.39
1.52,3595,690000,0.38
1.52,3643,700000,0.37
1.5,3689,710000,0.36
1.59,3733,720000,0.35
1.45,3782,730000,0.34
1.38,3827,740000,0.33
1.74,3870,750000,0.33
1.76,3916,760000,0.32
1.62,3963,770000,0.31
1.46,4012,780000,0.3
1.43,4058,790000,0.29
1.44,4104,800000,0.28
1.5,4150,810000,0.27
1.45,4198,820000,0.26
1.24,4247,830000,0.25
1.25,4295,840000,0.24
1.24,4347,850000,0.24
1.08,4397,860000,0.23
1.34,4442,870000,0.22
1.62,4485,880000,0.21
1.6,4528,890000,0.2
1.53,4576,900000,0.19
1.53,4617,910000,0.18
1.48,4664,920000,0.17
1.21,4710,930000,0.16
1.24,4754,940000,0.15
1.32,4799,950000,0.15
1.29,4843,960000,0.14
1.4,4888,970000,0.13
1.29,4932,980000,0.12
1.45,4973,990000,0.11
1.37,5016,1000000,0.1
1.47,5054,1010000,0.1
1.41,5096,1020000,0.1
1.5,5135,1030000,0.1
1.52,5174,1040000,0.1
1.45,5215,1050000,0.1
1.34,5258,1060000,0.1
1.34,5300,1070000,0.1
1.68,5340,1080000,0.1
1.44,5386,1090000,0.1
1.19,5428,1100000,0.1
1.25,5470,1110000,0.1
1.35,5509,1120000,0.1
1.39,5551,1130000,0.1
1.38,5591,1140000,0.1
1.38,5631,1150000,0.1
1.44,5672,1160000,0.1
1.54,5713,1170000,0.1
1.58,5753,1180000,0.1
1.48,5792,1190000,0.1
1.5,5833,1200000,0.1
1.53,5874,1210000,0.1
1.39,5918,1220000,0.1
1.45,5959,1230000,0.1
1.39,5998,1240000,0.1
